,date,time,pressure (hPa),humidity (%),temperature (degC)
122,20190101,20:20,982.5,100.0,1.0
123,20190101,20:30,982.7,100.0,1.0
124,20190101,20:40,982.8,100.0,1.1
125,20190101,20:50,982.9,100.0,1.3
126,20190101,21:00,983.0,100.0,1.0
127,20190101,21:10,983.1,100.0,1.1
128,20190101,21:20,983.2,100.0,1.1
129,20190101,21:30,983.4,100.0,1.2
130,20190101,21:40,983.5,100.0,1.2
131,20190101,21:50,983.7,100.0,1.3
132,20190101,22:00,983.8,100.0,1.4
133,20190101,22:10,983.9,99.0,1.4
134,20190101,22:20,984.1,99.0,1.3
135,20190101,22:30,984.3,99.0,1.3
136,20190101,22:40,984.5,99.0,1.1
137,20190101,22:50,984.7,100.0,0.9
138,20190101,23:00,984.9,100.0,0.9
139,20190101,23:10,985.1,100.0,0.9
140,20190101,23:20,985.4,100.0,1.0
141,20190101,23:30,985.7,100.0,1.0
142,20190101,23:40,985.9,100.0,1.1
143,20190101,23:50,986.2,100.0,1.1
144,20190102,00:00,986.5,100.0,1.0
145,20190102,00:10,986.7,100.0,1.0
146,20190102,00:20,986.9,100.0,1.0
147,20190102,00:30,987.2,100.0,0.9
148,20190102,00:40,987.5,100.0,0.8
149,20190102,00:50,987.7,100.0,0.8
150,20190102,01:00,988.0,99.0,0.7
151,20190102,01:10,988.3,99.0,0.6
152,20190102,01:20,988.5,99.0,0.6
153,20190102,01:30,988.8,99.0,0.6
154,20190102,01:40,989.0,97.0,0.6
155,20190102,01:50,989.2,97.0,0.6
156,20190102,02:00,989.5,98.0,0.4
157,20190102,02:10,989.8,97.0,0.4
158,20190102,02:20,990.1,97.0,0.3
159,20190102,02:30,990.5,97.0,0.2
160,20190102,02:40,990.8,97.0,0.0
161,20190102,02:50,991.2,98.0,-0.1
162,20190102,03:00,991.6,97.0,-0.8
163,20190102,03:10,992.0,96.0,-1.2
164,20190102,03:20,992.3,93.0,-1.4
165,20190102,03:30,992.5,94.0,-1.6
166,20190102,03:40,992.9,92.0,-1.7
167,20190102,03:50,993.2,91.0,-1.8
168,20190102,04:00,993.6,89.0,-1.9
169,20190102,04:10,994.0,88.0,-2.0
170,20190102,04:20,994.5,88.0,-2.1
171,20190102,04:30,994.7,88.0,-2.2
172,20190102,04:40,995.1,86.0,-2.2
173,20190102,04:50,995.4,87.0,-2.3
174,20190102,05:00,995.7,85.0,-2.3
175,20190102,05:10,996.1,85.0,-2.3
176,20190102,05:20,996.5,84.0,-2.2
177,20190102,05:30,996.9,84.0,-2.2
178,20190102,05:40,997.2,83.0,-2.1
179,20190102,05:50,997.5,85.0,-2.1
180,20190102,06:00,997.8,86.0,-2.3
181,20190102,06:10,998.2,88.0,-2.3
182,20190102,06:20,998.5,90.0,-2.5
183,20190102,06:30,998.9,92.0,-2.7
184,20190102,06:40,999.1,91.0,-2.7
185,20190102,06:50,999.3,90.0,-2.8
186,20190102,07:00,999.7,89.0,-2.8
187,20190102,07:10,1000.2,88.0,-2.8
188,20190102,07:20,1000.5,87.0,-3.0
189,20190102,07:30,1000.8,87.0,-3.1
190,20190102,07:40,1001.0,89.0,-3.2
191,20190102,07:50,1001.2,86.0,-3.2
192,20190102,08:00,1001.6,88.0,-3.3
193,20190102,08:10,1001.8,87.0,-3.4
194,20190102,08:20,1002.0,86.0,-3.5
195,20190102,08:30,1002.2,86.0,-3.6
196,20190102,08:40,1002.4,85.0,-3.6
197,20190102,08:50,1002.8,85.0,-3.6
198,20190102,09:00,1003.0,84.0,-3.6
199,20190102,09:10,1003.3,84.0,-3.6
200,20190102,09:20,1003.5,84.0,-3.7
201,20190102,09:30,1003.7,85.0,-3.7
202,20190102,09:40,1003.9,85.0,-3.7
203,20190102,09:50,1004.0,85.0,-3.8
204,20190102,10:00,1004.3,85.0,-3.8
205,20190102,10:10,1004.5,86.0,-3.9
206,20190102,10:20,1004.6,85.0,-3.9
207,20190102,10:30,1004.8,85.0,-3.9
208,20190102,10:40,1005.0,85.0,-4.0
209,20190102,10:50,1005.2,87.0,-4.2
210,20190102,11:00,1005.4,88.0,-4.3
211,20190102,11:10,1005.6,89.0,-4.4
212,20190102,11:20,1005.8,89.0,-4.5
213,20190102,11:30,1005.9,88.0,-4.5
214,20190102,11:40,1006.1,86.0,-4.4
215,20190102,11:50,1006.4,85.0,-4.3
216,20190102,12:00,1006.7,84.0,-4.3
217,20190102,12:10,1007.0,83.0,-4.3
218,20190102,12:20,1007.0,83.0,-4.3
219,20190102,12:30,1007.4,85.0,-4.5
220,20190102,12:40,1007.6,84.0,-4.5
221,20190102,12:50,1007.9,83.0,-4.5
222,20190102,13:00,1008.1,81.0,-4.5
223,20190102,13:10,1008.5,79.0,-4.5
224,20190102,13:20,1008.7,77.0,-4.5
225,20190102,13:30,1008.9,76.0,-4.6
226,20190102,13:40,1009.1,75.0,-4.7
227,20190102,13:50,1009.4,75.0,-4.9
228,20190102,14:00,1009.6,76.0,-5.1
229,20190102,14:10,1009.7,75.0,-5.2
230,20190102,14:20,1009.9,74.0,-5.3
231,20190102,14:30,1010.2,72.0,-5.5
232,20190102,14:40,1010.4,72.0,-5.7
233,20190102,14:50,1010.7,69.0,-5.8
234,20190102,15:00,1011.0,68.0,-5.9
235,20190102,15:10,1011.1,68.0,-6.1
236,20190102,15:20,1011.3,66.0,-6.1
237,20190102,15:30,1011.5,66.0,-6.2
238,20190102,15:40,1011.7,67.0,-6.4
239,20190102,15:50,1011.9,67.0,-6.5
240,20190102,16:00,1012.1,68.0,-6.6
241,20190102,16:10,1012.2,68.0,-6.6
242,20190102,16:20,1012.3,69.0,-6.7
243,20190102,16:30,1012.5,68.0,-6.7
244,20190102,16:40,1012.6,69.0,-6.8
245,20190102,16:50,1012.7,69.0,-6.8
246,20190102,17:00,1012.7,67.0,-6.8
247,20190102,17:10,1012.9,69.0,-7.0
248,20190102,17:20,1013.1,70.0,-7.1
249,20190102,17:30,1013.2,70.0,-7.2
250,20190102,17:40,1013.4,70.0,-7.2
251,20190102,17:50,1013.5,71.0,-7.3
252,20190102,18:00,1013.6,70.0,-7.2
253,20190102,18:10,1013.8,70.0,-7.2
254,20190102,18:20,1013.9,70.0,-7.3
255,20190102,18:30,1014.2,70.0,-7.4
256,20190102,18:40,1014.4,70.0,-7.4
257,20190102,18:50,1014.5,71.0,-7.5
258,20190102,19:00,1014.5,71.0,-7.5
259,20190102,19:10,1014.7,70.0,-7.4
260,20190102,19:20,1014.8,71.0,-7.4
261,20190102,19:30,1014.9,72.0,-7.5
262,20190102,19:40,1015.1,73.0,-7.5
263,20190102,19:50,1015.2,73.0,-7.5
264,20190102,20:00,1015.2,74.0,-7.6
265,20190102,20:10,1015.4,75.0,-7.7
266,20190102,20:20,1015.6,75.0,-7.7
267,20190102,20:30,1015.7,75.0,-7.6
268,20190102,20:40,1015.9,73.0,-7.6
269,20190102,20:50,1016.0,72.0,-7.6
270,20190102,21:00,1016.1,72.0,-7.6
271,20190102,21:10,1016.2,72.0,-7.5
272,20190102,21:20,1016.3,72.0,-7.5
273,20190102,21:30,1016.5,70.0,-7.4
274,20190102,21:40,1016.7,70.0,-7.6
275,20190102,21:50,1016.9,70.0,-7.6
276,20190102,22:00,1017.1,69.0,-7.5
277,20190102,22:10,1017.2,71.0,-7.6
278,20190102,22:20,1017.2,71.0,-7.6
279,20190102,22:30,1017.4,71.0,-7.7
280,20190102,22:40,1017.5,71.0,-7.7
281,20190102,22:50,1017.6,70.0,-7.7
282,20190102,23:00,1017.7,70.0,-7.8
283,20190102,23:10,1017.9,70.0,-7.9
284,20190102,23:20,1018.0,70.0,-7.8
285,20190102,23:30,1018.1,70.0,-7.9
286,20190102,23:40,1018.2,70.0,-8.0
287,20190102,23:50,1018.4,70.0,-8.0
288,20190103,00:00,1018.6,68.0,-7.8
289,20190103,00:10,1018.7,70.0,-8.0
290,20190103,00:20,1018.9,70.0,-8.1
291,20190103,00:30,1018.9,70.0,-8.1
292,20190103,00:40,1019.1,71.0,-8.2
293,20190103,00:50,1019.1,70.0,-8.1
294,20190103,01:00,1019.2,71.0,-8.3
295,20190103,01:10,1019.4,71.0,-8.2
296,20190103,01:20,1019.6,71.0,-8.2
297,20190103,01:30,1019.7,72.0,-8.4
298,20190103,01:40,1019.8,72.0,-8.4
299,20190103,01:50,1020.0,74.0,-8.6
300,20190103,02:00,1020.2,74.0,-8.5
301,20190103,02:10,1020.4,75.0,-8.7
302,20190103,02:20,1020.5,76.0,-8.7
303,20190103,02:30,1020.7,77.0,-8.7
304,20190103,02:40,1020.9,77.0,-8.8
305,20190103,02:50,1021.0,79.0,-8.9
306,20190103,03:00,1021.1,79.0,-9.0
307,20190103,03:10,1021.3,79.0,-9.0
308,20190103,03:20,1021.4,80.0,-9.0
309,20190103,03:30,1021.5,80.0,-8.9
310,20190103,03:40,1021.7,80.0,-9.0
311,20190103,03:50,1021.9,80.0,-9.0
312,20190103,04:00,1022.1,81.0,-9.3
313,20190103,04:10,1022.2,82.0,-9.4
314,20190103,04:20,1022.4,82.0,-9.5
315,20190103,04:30,1022.6,82.0,-9.6
316,20190103,04:40,1022.7,82.0,-9.5
317,20190103,04:50,1023.0,82.0,-9.7
318,20190103,05:00,1023.2,83.0,-9.8
319,20190103,05:10,1023.3,83.0,-9.9
320,20190103,05:20,1023.4,83.0,-9.8
321,20190103,05:30,1023.6,83.0,-9.9
322,20190103,05:40,1023.8,82.0,-9.8
323,20190103,05:50,1023.7,81.0,-9.6
324,20190103,06:00,1024.0,80.0,-9.5
325,20190103,06:10,1024.2,80.0,-9.6
326,20190103,06:20,1024.5,80.0,-9.8
327,20190103,06:30,1024.7,81.0,-10.0
328,20190103,06:40,1024.9,82.0,-10.1
329,20190103,06:50,1025.1,82.0,-10.1
330,20190103,07:00,1025.3,82.0,-10.3
331,20190103,07:10,1025.4,83.0,-10.4
332,20190103,07:20,1025.5,83.0,-10.5
333,20190103,07:30,1025.6,83.0,-10.4
334,20190103,07:40,1025.8,83.0,-10.4
335,20190103,07:50,1026.0,83.0,-10.5
336,20190103,08:00,1026.2,83.0,-10.5
337,20190103,08:10,1026.3,83.0,-10.4
338,20190103,08:20,1026.4,82.0,-10.3
339,20190103,08:30,1026.6,83.0,-10.4
340,20190103,08:40,1026.8,82.0,-10.2
341,20190103,08:50,1026.8,82.0,-10.2
342,20190103,09:00,1026.9,81.0,-10.0
343,20190103,09:10,1026.9,81.0,-9.8
344,20190103,09:20,1026.9,81.0,-9.7
345,20190103,09:30,1027.0,81.0,-9.8
346,20190103,09:40,1027.0,82.0,-9.8
347,20190103,09:50,1027.0,81.0,-9.7
348,20190103,10:00,1027.0,81.0,-9.5
349,20190103,10:10,1027.0,81.0,-9.5
350,20190103,10:20,1027.1,80.0,-9.3
351,20190103,10:30,1027.1,80.0,-9.3
352,20190103,10:40,1027.1,79.0,-9.2
353,20190103,10:50,1027.2,78.0,-9.1
354,20190103,11:00,1027.2,77.0,-9.0
355,20190103,11:10,1027.2,77.0,-9.0
356,20190103,11:20,1027.2,77.0,-9.0
357,20190103,11:30,1027.1,76.0,-9.0
358,20190103,11:40,1027.1,76.0,-9.1
359,20190103,11:50,1027.2,76.0,-9.2
360,20190103,12:00,1027.3,77.0,-9.2
361,20190103,12:10,1027.4,77.0,-9.2
362,20190103,12:20,1027.3,78.0,-9.5
363,20190103,12:30,1027.4,79.0,-9.6
364,20190103,12:40,1027.4,80.0,-9.7
365,20190103,12:50,1027.4,80.0,-9.9
366,20190103,13:00,1027.5,81.0,-10.0
367,20190103,13:10,1027.6,82.0,-10.2
368,20190103,13:20,1027.8,82.0,-10.5
369,20190103,13:30,1027.8,83.0,-10.6
370,20190103,13:40,1027.9,83.0,-10.8
371,20190103,13:50,1028.0,84.0,-11.1
372,20190103,14:00,1028.0,85.0,-11.2
373,20190103,14:10,1028.0,85.0,-11.3
374,20190103,14:20,1027.8,85.0,-11.3
375,20190103,14:30,1027.6,85.0,-11.5
376,20190103,14:40,1027.6,86.0,-11.8
377,20190103,14:50,1027.5,87.0,-12.0
378,20190103,15:00,1027.6,88.0,-12.2
379,20190103,15:10,1027.3,88.0,-12.2
380,20190103,15:20,1027.6,89.0,-12.3
381,20190103,15:30,1027.4,88.0,-12.4
382,20190103,15:40,1027.5,89.0,-12.3
383,20190103,15:50,1027.7,88.0,-12.3
384,20190103,16:00,1027.8,88.0,-12.3
385,20190103,16:10,1027.6,88.0,-12.4
386,20190103,16:20,1027.5,89.0,-12.5
387,20190103,16:30,1027.6,89.0,-12.6
388,20190103,16:40,1027.6,89.0,-12.8
389,20190103,16:50,1027.7,90.0,-12.8
390,20190103,17:00,1027.5,90.0,-12.9
391,20190103,17:10,1027.5,89.0,-13.2
392,20190103,17:20,1027.1,91.0,-13.5
393,20190103,17:30,1027.0,91.0,-13.8
394,20190103,17:40,1027.0,91.0,-13.8
395,20190103,17:50,1027.0,91.0,-13.5
396,20190103,18:00,1026.7,91.0,-13.6
397,20190103,18:10,1026.6,90.0,-13.7
398,20190103,18:20,1026.6,91.0,-13.9
399,20190103,18:30,1026.5,91.0,-13.9
400,20190103,18:40,1026.4,91.0,-14.1
401,20190103,18:50,1026.3,91.0,-13.8
402,20190103,19:00,1026.0,90.0,-13.9
403,20190103,19:10,1025.7,90.0,-14.2
404,20190103,19:20,1025.5,91.0,-14.1
405,20190103,19:30,1025.4,91.0,-14.1
406,20190103,19:40,1025.4,91.0,-14.1
407,20190103,19:50,1025.2,91.0,-14.0
408,20190103,20:00,1024.9,91.0,-13.9
409,20190103,20:10,1024.8,90.0,-14.1
410,20190103,20:20,1024.6,90.0,-14.2
411,20190103,20:30,1024.3,91.0,-14.1
412,20190103,20:40,1024.3,90.0,-14.2
413,20190103,20:50,1024.2,91.0,-14.0
414,20190103,21:00,1024.1,90.0,-13.9
415,20190103,21:10,1024.0,91.0,-13.7
416,20190103,21:20,1023.7,91.0,-13.3
417,20190103,21:30,1023.3,91.0,-13.0
418,20190103,21:40,1023.0,91.0,-12.6
419,20190103,21:50,1022.6,90.0,-12.4
420,20190103,22:00,1022.4,90.0,-11.9
421,20190103,22:10,1022.4,89.0,-11.6
422,20190103,22:20,1022.4,89.0,-11.5
423,20190103,22:30,1022.0,89.0,-11.5
424,20190103,22:40,1021.7,90.0,-11.1
425,20190103,22:50,1021.6,88.0,-10.7
426,20190103,23:00,1021.5,88.0,-10.6
427,20190103,23:10,1021.2,88.0,-10.5
428,20190103,23:20,1020.9,89.0,-10.5
429,20190103,23:30,1020.8,89.0,-10.2
430,20190103,23:40,1020.6,89.0,-9.9
431,20190103,23:50,1020.5,90.0,-9.5
432,20190104,00:00,1020.4,91.0,-9.3
433,20190104,00:10,1020.1,91.0,-9.3
434,20190104,00:20,1019.9,92.0,-9.2
435,20190104,00:30,1019.7,93.0,-9.0
436,20190104,00:40,1019.4,93.0,-8.7
437,20190104,00:50,1019.3,94.0,-8.4
438,20190104,01:00,1019.0,94.0,-8.2
439,20190104,01:10,1018.8,94.0,-8.0
440,20190104,01:20,1018.5,94.0,-7.7
441,20190104,01:30,1018.2,93.0,-6.6
442,20190104,01:40,1017.9,90.0,-6.3
443,20190104,01:50,1017.6,89.0,-6.4
444,20190104,02:00,1017.3,90.0,-6.2
445,20190104,02:10,1017.1,92.0,-6.0
446,20190104,02:20,1016.9,93.0,-5.8
447,20190104,02:30,1016.6,94.0,-5.5
448,20190104,02:40,1016.2,95.0,-5.2
449,20190104,02:50,1015.9,96.0,-4.8
450,20190104,03:00,1015.5,97.0,-4.0
451,20190104,03:10,1015.3,98.0,-3.6
452,20190104,03:20,1015.0,98.0,-3.2
453,20190104,03:30,1014.7,99.0,-2.8
454,20190104,03:40,1014.4,98.0,-2.4
455,20190104,03:50,1014.1,97.0,-2.3
456,20190104,04:00,1013.9,96.0,-2.3
457,20190104,04:10,1013.5,97.0,-2.2
458,20190104,04:20,1013.3,97.0,-2.3
459,20190104,04:30,1013.0,97.0,-2.1
460,20190104,04:40,1012.7,97.0,-2.1
461,20190104,04:50,1012.5,97.0,-2.1
462,20190104,05:00,1012.1,97.0,-2.0
463,20190104,05:10,1012.0,96.0,-1.9
464,20190104,05:20,1011.8,96.0,-1.9
465,20190104,05:30,1011.6,97.0,-1.8
466,20190104,05:40,1011.3,96.0,-1.9
467,20190104,05:50,1011.1,96.0,-1.8
468,20190104,06:00,1011.0,97.0,-1.7
469,20190104,06:10,1010.8,96.0,-1.6
470,20190104,06:20,1010.8,96.0,-1.6
471,20190104,06:30,1010.8,96.0,-1.5
472,20190104,06:40,1010.6,97.0,-1.5
473,20190104,06:50,1010.3,98.0,-1.4
474,20190104,07:00,1010.0,98.0,-1.3
475,20190104,07:10,1009.9,99.0,-1.1
476,20190104,07:20,1009.7,99.0,-1.1
477,20190104,07:30,1009.7,99.0,-1.0
478,20190104,07:40,1009.5,99.0,-0.9
479,20190104,07:50,1009.4,100.0,-0.8
480,20190104,08:00,1009.2,100.0,-0.7
481,20190104,08:10,1009.1,100.0,-0.6
482,20190104,08:20,1009.0,100.0,-0.5
483,20190104,08:30,1009.1,100.0,-0.5
484,20190104,08:40,1009.1,100.0,-0.4
485,20190104,08:50,1009.0,100.0,-0.3
486,20190104,09:00,1008.9,100.0,-0.2
487,20190104,09:10,1008.7,100.0,-0.2
488,20190104,09:20,1008.5,100.0,-0.1
489,20190104,09:30,1008.3,100.0,-0.1
490,20190104,09:40,1008.0,100.0,0.0
491,20190104,09:50,1007.9,100.0,0.0
492,20190104,10:00,1007.7,100.0,0.0
493,20190104,10:10,1007.6,100.0,0.2
494,20190104,10:20,1007.3,100.0,0.2
495,20190104,10:30,1006.7,100.0,0.2
496,20190104,10:40,1006.9,100.0,0.3
497,20190104,10:50,1006.6,100.0,0.2
498,20190104,11:00,1006.4,100.0,0.2
499,20190104,11:10,1006.3,100.0,0.3
500,20190104,11:20,1006.3,100.0,0.2
501,20190104,11:30,1006.2,100.0,0.1
502,20190104,11:40,1006.2,100.0,0.1
503,20190104,11:50,1006.3,100.0,0.2
504,20190104,12:00,1006.2,100.0,0.2
505,20190104,12:10,1006.1,100.0,0.2
506,20190104,12:20,1006.1,100.0,0.1
507,20190104,12:30,1006.0,100.0,0.1
508,20190104,12:40,1006.0,100.0,0.1
509,20190104,12:50,1006.0,100.0,0.2
510,20190104,13:00,1006.0,100.0,0.2
511,20190104,13:10,1005.9,100.0,0.2
512,20190104,13:20,1005.9,100.0,0.1
513,20190104,13:30,1006.0,100.0,0.1
514,20190104,13:40,1006.1,100.0,0.1
515,20190104,13:50,1006.0,100.0,0.1
516,20190104,14:00,1006.0,100.0,0.1
517,20190104,14:10,1006.2,100.0,0.1
518,20190104,14:20,1006.2,100.0,0.1
519,20190104,14:30,1006.2,100.0,0.0
520,20190104,14:40,1006.3,100.0,0.0
521,20190104,14:50,1006.2,100.0,0.0
522,20190104,15:00,1006.3,100.0,-0.1
523,20190104,15:10,1006.4,100.0,-0.2
524,20190104,15:20,1006.4,100.0,-0.2
525,20190104,15:30,1006.5,100.0,-0.3
526,20190104,15:40,1006.6,100.0,-0.4
527,20190104,15:50,1006.6,99.0,-0.4
528,20190104,16:00,1006.6,98.0,-0.5
529,20190104,16:10,1006.7,99.0,-0.6
530,20190104,16:20,1006.7,98.0,-0.7
531,20190104,16:30,1006.8,97.0,-0.7
532,20190104,16:40,1006.8,97.0,-0.8
533,20190104,16:50,1006.8,98.0,-0.8
534,20190104,17:00,1006.8,97.0,-0.9
535,20190104,17:10,1006.9,97.0,-0.9
536,20190104,17:20,1006.9,97.0,-0.9
537,20190104,17:30,1007.0,97.0,-1.0
538,20190104,17:40,1007.1,97.0,-1.1
539,20190104,17:50,1007.2,94.0,-1.1
540,20190104,18:00,1007.3,96.0,-1.3
541,20190104,18:10,1007.4,96.0,-1.3
542,20190104,18:20,1007.5,96.0,-1.4
543,20190104,18:30,1007.7,97.0,-1.5
544,20190104,18:40,1007.8,93.0,-1.3
545,20190104,18:50,1007.8,92.0,-1.5
546,20190104,19:00,1007.9,92.0,-1.6
547,20190104,19:10,1008.1,93.0,-1.8
548,20190104,19:20,1008.1,91.0,-1.9
549,20190104,19:30,1008.3,92.0,-2.0
550,20190104,19:40,1008.5,90.0,-2.1
551,20190104,19:50,1008.5,92.0,-2.4
552,20190104,20:00,1008.6,91.0,-2.7
553,20190104,20:10,1008.8,92.0,-2.7
554,20190104,20:20,1008.7,91.0,-2.8
555,20190104,20:30,1008.8,92.0,-2.8
556,20190104,20:40,1008.8,92.0,-2.8
557,20190104,20:50,1009.0,91.0,-2.9
558,20190104,21:00,1009.0,92.0,-2.9
559,20190104,21:10,1009.1,91.0,-3.0
560,20190104,21:20,1009.3,90.0,-3.0
561,20190104,21:30,1009.3,89.0,-3.1
562,20190104,21:40,1009.5,90.0,-3.2
563,20190104,21:50,1009.7,90.0,-3.4
564,20190104,22:00,1009.9,90.0,-3.5
565,20190104,22:10,1009.9,90.0,-3.6
566,20190104,22:20,1010.0,90.0,-3.6
567,20190104,22:30,1010.1,90.0,-3.7
568,20190104,22:40,1010.3,91.0,-3.8
569,20190104,22:50,1010.5,91.0,-3.9
570,20190104,23:00,1010.5,92.0,-3.9
571,20190104,23:10,1010.6,91.0,-4.0
572,20190104,23:20,1010.9,91.0,-4.0
573,20190104,23:30,1011.0,92.0,-4.1
574,20190104,23:40,1011.1,92.0,-4.1
575,20190104,23:50,1011.3,93.0,-4.1
576,20190105,00:00,1011.3,93.0,-4.2
577,20190105,00:10,1011.5,94.0,-4.2
578,20190105,00:20,1011.7,94.0,-4.3
579,20190105,00:30,1011.8,95.0,-4.4
580,20190105,00:40,1012.0,95.0,-4.4
581,20190105,00:50,1012.1,95.0,-4.5
582,20190105,01:00,1012.1,95.0,-4.5
583,20190105,01:10,1012.2,95.0,-4.6
584,20190105,01:20,1012.3,95.0,-4.7
585,20190105,01:30,1012.4,95.0,-4.7
586,20190105,01:40,1012.5,94.0,-4.8
587,20190105,01:50,1012.6,94.0,-4.8
588,20190105,02:00,1012.8,93.0,-4.9
589,20190105,02:10,1013.0,93.0,-4.9
590,20190105,02:20,1013.1,93.0,-4.9
591,20190105,02:30,1013.3,93.0,-5.0
592,20190105,02:40,1013.3,94.0,-5.1
593,20190105,02:50,1013.3,94.0,-5.1
594,20190105,03:00,1013.4,93.0,-5.2
595,20190105,03:10,1013.5,93.0,-5.2
