CREATE DATABASE IF NOT EXISTS dummyweatherdatadb;
USE dummyweatherdatadb;
DROP TABLE IF EXISTS weatherdata;
CREATE TABLE IF NOT EXISTS weatherdata (date DATE NOT NULL, time TIME NOT NULL, temperature FLOAT(24) NOT NULL);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 000000, 19.570177154875864);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 003000, 20.14145769650604);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 004500, 20.20884644838346);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 010000, 19.820976278192628);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 011500, 19.994486413399684);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 013000, 20.06048639869196);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 014500, 19.398496895101413);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 020000, 19.483411235017293);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 021500, 19.291897396786865);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 023000, 19.458922204267402);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 024500, 19.273990231226467);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 030000, 19.45448746333447);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 031500, 19.367978904135576);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 033000, 19.83757022844588);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 034500, 19.283841752694716);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 040000, 19.60513897519029);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 041500, 19.51302653632024);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 043000, 19.32617925996917);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 044500, 20.01294406533565);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 050000, 19.98108607486237);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 051500, 19.952224407490814);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 053000, 19.478019680239896);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 054500, 20.105441502598005);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 060000, 19.757725125113073);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 061500, 20.155920973229225);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 063000, 20.173089231344935);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 064500, 20.085921565747196);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 070000, 20.58783711273895);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 071500, 20.666775256080797);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 073000, 20.389681350382936);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 074500, 20.703318898508);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 080000, 20.668875165182236);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 081500, 20.967231451667338);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 083000, 20.96870481364582);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 084500, 21.25164410992882);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 090000, 21.347085580940664);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 091500, 21.485908953807996);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 093000, 21.619682997255257);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 094500, 21.753091648978693);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 100000, 21.860371816635265);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 101500, 22.016403917343712);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 103000, 22.13978574242199);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 104500, 22.265903704875736);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 110000, 22.57901938682865);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 111500, 22.643895111579297);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 113000, 22.874827661992295);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 114500, 22.98826400396843);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 120000, 23.059679491988362);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 121500, 23.21266838198311);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 123000, 23.119443780703698);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 124500, 23.29959991762126);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 130000, 23.575612879846755);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 131500, 23.607585895768985);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 133000, 23.670896193597937);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 134500, 23.500712986052857);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 140000, 23.965166726031665);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 141500, 23.921548210047877);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 143000, 23.74250918876911);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 144500, 23.636256447738674);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 150000, 23.78548975287523);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 151500, 23.863975323774653);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 153000, 23.526977108012257);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 154500, 23.99295252911253);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 160000, 24.08665586930691);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 161500, 23.635968328709893);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 163000, 23.67846974639605);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 164500, 23.457337326999884);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 170000, 23.453424711362388);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 171500, 23.86660484339719);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 173000, 23.746028050015852);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 174500, 23.501039137539472);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 180000, 23.778922664974992);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 181500, 23.560179607947457);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 183000, 23.665176576588323);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 184500, 23.119858740762503);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 190000, 23.305875593033306);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 191500, 23.007427389803265);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 193000, 23.1977272597366);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 194500, 22.94062710171958);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 200000, 22.85626217927961);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 201500, 22.629595217329445);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 203000, 22.64373287174603);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 204500, 22.43487009734807);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 210000, 22.361684354789347);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 211500, 22.2213929019033);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 213000, 22.066746673884577);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 214500, 21.949378764155206);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 220000, 21.824685146941142);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 221500, 21.717458374336655);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 223000, 21.645536629649975);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 224500, 21.487342803960615);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 230000, 21.365119334092185);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 231500, 21.320055426530537);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 233000, 21.204007723267328);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 234500, 20.8856488018596);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 000000, 20.9351694483605);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 001500, 20.833339345992226);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 003000, 20.55559218919803);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 004500, 20.588431109754072);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 010000, 20.831364190475057);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 011500, 20.3285041292773);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 013000, 20.30158869076217);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 014500, 20.638285101866117);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 020000, 20.2915585240705);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 021500, 19.863577428629497);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 023000, 20.573952335682726);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 024500, 20.519036167839264);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 030000, 20.268937522619073);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 031500, 20.29074747578139);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 033000, 19.89479889104007);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 034500, 20.46770520577072);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 040000, 20.543086172559583);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 041500, 20.41775097260414);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 043000, 20.05755959228291);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 044500, 20.618816428895286);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 050000, 20.68252759563902);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 051500, 20.5689859976155);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 053000, 20.338739346687692);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 054500, 20.701863580264064);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 060000, 20.306808153404216);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 061500, 20.579464057436375);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 063000, 20.73435778202623);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 064500, 20.921306841664908);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 070000, 21.131837766527113);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 071500, 21.054865573972016);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 073000, 21.252214556447914);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 074500, 21.31464675786259);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 080000, 21.419660375238774);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 081500, 21.52621033202905);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 083000, 21.670621107282695);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 084500, 21.803368555001793);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 090000, 21.987035022027538);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 091500, 22.076548544853996);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 093000, 22.243936553554782);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 094500, 22.366963915844785);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 100000, 22.53534450166476);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 101500, 22.60284081232204);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 103000, 22.71908560712424);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 104500, 22.819688115350843);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 110000, 23.172868845956216);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 111500, 23.045272692305808);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 113000, 23.358938103677378);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 114500, 23.23756487610814);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 120000, 23.47135778055312);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 121500, 23.43024868950444);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 123000, 23.492380580953746);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 124500, 23.97919890382298);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 130000, 24.20872578272136);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 131500, 24.29072325105591);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 133000, 24.160148321036015);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 134500, 23.92254542241859);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 140000, 24.158228116130502);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 141500, 24.379104102829352);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 143000, 24.25222486296486);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 144500, 24.401551200194202);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 150000, 24.562835862742805);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 151500, 24.18872387746123);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 153000, 24.583867325000213);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 154500, 24.41062720129183);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 160000, 24.784917216359176);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 161500, 24.546777659104485);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 163000, 24.10101376195152);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 164500, 24.255584585757);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 170000, 24.71177765829311);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 171500, 24.18827474680159);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 173000, 24.181559389221874);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 174500, 24.4295115247382);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 180000, 24.203961463064545);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 181500, 24.022067690676508);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 183000, 24.01348827942821);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 184500, 23.855796495112113);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 190000, 23.866798460663162);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 191500, 23.886994325836152);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 193000, 23.439037923527465);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 194500, 23.484028836582027);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 200000, 23.22061010545213);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 201500, 23.22030875140816);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 203000, 23.169446047729583);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 204500, 23.00216369465334);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 210000, 22.88856296357489);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 211500, 22.806065656877855);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 213000, 22.644561980086323);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 214500, 22.531738071563932);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 220000, 22.36639236453907);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 221500, 22.33585554442574);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 223000, 22.13640919146294);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 224500, 22.12073486007652);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 230000, 21.972397937767294);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 231500, 21.856504108140967);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 233000, 21.63054232293048);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190703', 234500, 21.75218561740331);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 000000, 21.467512241314623);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 001500, 21.201556661811445);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 003000, 21.318780427666905);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 004500, 21.224216355735024);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 010000, 21.34770264701556);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 011500, 21.27128096549412);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 013000, 21.07429789426608);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 014500, 21.148097192092404);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 020000, 20.694651675351327);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 021500, 20.433099663358533);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 023000, 20.392712741535817);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 024500, 20.726825506378166);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 030000, 21.057959752033153);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 031500, 20.541602304803703);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 033000, 20.592820807924074);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190704', 034500, 20.651032053542025);
