Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Ilman lämpötila (degC)
2019,11,1,15:10,UTC,1013,93,1.1
2019,11,1,15:20,UTC,1013,91,1.7
2019,11,1,15:30,UTC,1013,91,1.2
2019,11,1,15:40,UTC,1012.9,89,1.7
2019,11,1,15:50,UTC,1012.9,89,1.6
2019,11,1,16:00,UTC,1012.9,93,0.7
2019,11,1,16:10,UTC,1012.8,96,0.1
2019,11,1,16:20,UTC,1012.9,98,-0.1
2019,11,1,16:30,UTC,1012.8,99,-0.1
2019,11,1,16:40,UTC,1012.7,99,-0.2
2019,11,1,16:50,UTC,1012.6,100,0.1
2019,11,1,17:00,UTC,1012.6,96,-0.2
2019,11,1,17:10,UTC,1012.6,100,-0.8
2019,11,1,17:20,UTC,1012.6,100,-1.4
2019,11,1,17:30,UTC,1012.6,100,-1.3
2019,11,1,17:40,UTC,1012.5,100,-0.9
2019,11,1,17:50,UTC,1012.5,100,-1.2
2019,11,1,18:00,UTC,1012.5,100,-1.1
2019,11,1,18:10,UTC,1012.4,100,-1
2019,11,1,18:20,UTC,1012.3,100,-1.6
2019,11,1,18:30,UTC,1012.3,100,-1.5
2019,11,1,18:40,UTC,1012.3,100,-1.8
2019,11,1,18:50,UTC,1012.2,100,-1.8
2019,11,1,19:00,UTC,1012.3,100,-2.4
2019,11,1,19:10,UTC,1012.3,100,-1.6
2019,11,1,19:20,UTC,1012.2,100,-1.8
2019,11,1,19:30,UTC,1012.2,100,-1.9
2019,11,1,19:40,UTC,1012.1,100,-1.8
2019,11,1,19:50,UTC,1012,100,-2.3
2019,11,1,20:00,UTC,1012,100,-2.6
2019,11,1,20:10,UTC,1011.9,100,-2.1
2019,11,1,20:20,UTC,1011.8,100,-2.3
2019,11,1,20:30,UTC,1011.8,100,-2.1
2019,11,1,20:40,UTC,1011.7,100,-2.1
2019,11,1,20:50,UTC,1011.7,100,-1.7
2019,11,1,21:00,UTC,1011.6,100,-1.9
2019,11,1,21:10,UTC,1011.5,100,-1.7
2019,11,1,21:20,UTC,1011.4,100,-1.7
2019,11,1,21:30,UTC,1011.3,100,-1.7
2019,11,1,21:40,UTC,1011.3,100,-1.9
2019,11,1,21:50,UTC,1011.2,100,-1.7
2019,11,1,22:00,UTC,1011.3,100,-1.9
2019,11,1,22:10,UTC,1011.2,100,-1.2
2019,11,1,22:20,UTC,1011.1,100,-1.4
2019,11,1,22:30,UTC,1011.1,100,-2.2
2019,11,1,22:40,UTC,1011,100,-2.9
2019,11,1,22:50,UTC,1010.9,100,-2.7
2019,11,1,23:00,UTC,1010.8,100,-2.6
2019,11,1,23:10,UTC,1010.7,100,-2.4
2019,11,1,23:20,UTC,1010.5,100,-2.4
2019,11,1,23:30,UTC,1010.4,100,-1.9
2019,11,1,23:40,UTC,1010.3,100,-2.1
2019,11,1,23:50,UTC,1010.2,100,-2
2019,11,2,00:00,UTC,1010,100,-1.7
2019,11,2,00:10,UTC,1009.8,100,-1.7
2019,11,2,00:20,UTC,1009.6,100,-1.9
2019,11,2,00:30,UTC,1009.4,100,-1.5
2019,11,2,00:40,UTC,1009.4,100,-1.1
2019,11,2,00:50,UTC,1009.3,100,-0.6
2019,11,2,01:00,UTC,1009.3,100,0.1
2019,11,2,01:10,UTC,1009.2,100,0.3
2019,11,2,01:20,UTC,1009,100,0.3
2019,11,2,01:30,UTC,1008.9,100,-0.2
2019,11,2,01:40,UTC,1008.7,100,-0.5
2019,11,2,01:50,UTC,1008.7,100,-0.5
2019,11,2,02:00,UTC,1008.5,100,0.5
2019,11,2,02:10,UTC,1008.3,100,0.3
2019,11,2,02:20,UTC,1008.2,100,-0.4
2019,11,2,02:30,UTC,1008,100,0.3
2019,11,2,02:40,UTC,1007.9,100,0.2
2019,11,2,02:50,UTC,1007.7,100,1
2019,11,2,03:00,UTC,1007.6,100,0.9
2019,11,2,03:10,UTC,1007.4,100,0.9
2019,11,2,03:20,UTC,1007.2,99,1.3
2019,11,2,03:30,UTC,1007.1,100,1.3
2019,11,2,03:40,UTC,1006.9,100,1.5
2019,11,2,03:50,UTC,1006.8,99,1.8
2019,11,2,04:00,UTC,1006.7,98,2.2
2019,11,2,04:10,UTC,1006.6,97,2.5
2019,11,2,04:20,UTC,1006.5,94,2.5
2019,11,2,04:30,UTC,1006.3,94,2.8
2019,11,2,04:40,UTC,1006.2,96,2.7
2019,11,2,04:50,UTC,1006.1,97,2.8
2019,11,2,05:00,UTC,1006,98,3
2019,11,2,05:10,UTC,1005.8,100,3.1
2019,11,2,05:20,UTC,1005.7,100,2.7
2019,11,2,05:30,UTC,1005.6,100,3.2
2019,11,2,05:40,UTC,1005.5,100,3.2
2019,11,2,05:50,UTC,1005.3,100,3.4
2019,11,2,06:00,UTC,1005.2,100,3.4
2019,11,2,06:10,UTC,1005.1,100,3.7
2019,11,2,06:20,UTC,1005,100,4.5
2019,11,2,06:30,UTC,1004.9,100,4.5
2019,11,2,06:40,UTC,1004.9,100,4.6
2019,11,2,06:50,UTC,1004.7,100,4.3
2019,11,2,07:00,UTC,1004.6,100,4.5
2019,11,2,07:10,UTC,1004.5,100,4.6
2019,11,2,07:20,UTC,1004.3,100,4.6
2019,11,2,07:30,UTC,1004.2,100,4.7
2019,11,2,07:40,UTC,1004.1,100,4.7
2019,11,2,07:50,UTC,1003.9,100,4.7
2019,11,2,08:00,UTC,1003.7,100,4.7
2019,11,2,08:10,UTC,1003.6,100,4.7
2019,11,2,08:20,UTC,1003.5,100,4.8
2019,11,2,08:30,UTC,1003.4,100,4.8
2019,11,2,08:40,UTC,1003.2,100,4.9
2019,11,2,08:50,UTC,1003.1,100,5
2019,11,2,09:00,UTC,1002.9,100,5
2019,11,2,09:10,UTC,1002.7,100,5.2
2019,11,2,09:20,UTC,1002.6,100,5.3
2019,11,2,09:30,UTC,1002.3,100,5.4
2019,11,2,09:40,UTC,1002.2,100,5.2
2019,11,2,09:50,UTC,1002.1,99,5.1
2019,11,2,10:00,UTC,1002,95,5.2
2019,11,2,10:10,UTC,1001.9,94,5
2019,11,2,10:20,UTC,1001.8,94,4.9
2019,11,2,10:30,UTC,1001.6,93,4.8
2019,11,2,10:40,UTC,1001.4,94,4.8
2019,11,2,10:50,UTC,1001.2,93,4.9
2019,11,2,11:00,UTC,1001,93,4.9
2019,11,2,11:10,UTC,1000.9,92,5
2019,11,2,11:20,UTC,1000.7,90,5.1
2019,11,2,11:30,UTC,1000.5,89,5.1
2019,11,2,11:40,UTC,1000.3,87,5.1
2019,11,2,11:50,UTC,1000.1,86,5.1
2019,11,2,12:00,UTC,999.9,85,5.1
2019,11,2,12:10,UTC,999.6,84,5.1
2019,11,2,12:20,UTC,999.4,83,5.3
2019,11,2,12:30,UTC,999.3,85,5.1
2019,11,2,12:40,UTC,999,86,5.2
2019,11,2,12:50,UTC,998.9,85,5.3
2019,11,2,13:00,UTC,998.8,84,5.4
2019,11,2,13:10,UTC,998.6,86,5.4
2019,11,2,13:20,UTC,998.4,85,5.3
2019,11,2,13:30,UTC,998.2,84,5.4
2019,11,2,13:40,UTC,998.1,84,5.5
2019,11,2,13:50,UTC,997.9,83,5.4
2019,11,2,14:00,UTC,997.8,83,5.4
2019,11,2,14:10,UTC,997.6,83,5.4
2019,11,2,14:20,UTC,997.6,83,5.3
2019,11,2,14:30,UTC,997.4,83,5.3
2019,11,2,14:40,UTC,997.3,82,5.4
2019,11,2,14:50,UTC,997.2,83,5.2
2019,11,2,15:00,UTC,997.1,82,5.3
2019,11,2,15:10,UTC,997.1,82,5.3
2019,11,2,15:20,UTC,996.9,83,5.2
2019,11,2,15:30,UTC,996.7,84,5.2
2019,11,2,15:40,UTC,996.6,84,5.2
2019,11,2,15:50,UTC,996.5,85,5.1
2019,11,2,16:00,UTC,996.3,85,5
2019,11,2,16:10,UTC,996.3,85,5.1
2019,11,2,16:20,UTC,996.1,85,5.1
2019,11,2,16:30,UTC,996,89,4.8
2019,11,2,16:40,UTC,996,94,4.4
2019,11,2,16:50,UTC,996,98,4.1
2019,11,2,17:00,UTC,995.9,99,3.9
2019,11,2,17:10,UTC,995.8,100,3.9
2019,11,2,17:20,UTC,995.8,100,3.9
2019,11,2,17:30,UTC,995.7,100,3.8
2019,11,2,17:40,UTC,995.5,100,3.9
2019,11,2,17:50,UTC,995.4,100,3.9
2019,11,2,18:00,UTC,995.4,100,3.8
2019,11,2,18:10,UTC,995.2,100,3.8
2019,11,2,18:20,UTC,995.1,100,3.7
2019,11,2,18:30,UTC,995,100,3.7
2019,11,2,18:40,UTC,994.8,100,3.7
2019,11,2,18:50,UTC,994.7,100,3.7
2019,11,2,19:00,UTC,994.6,100,3.7
2019,11,2,19:10,UTC,994.5,100,3.7
2019,11,2,19:20,UTC,994.4,100,3.6
2019,11,2,19:30,UTC,994.3,100,3.5
2019,11,2,19:40,UTC,994.2,100,3.5
2019,11,2,19:50,UTC,994,100,3.4
2019,11,2,20:00,UTC,993.9,100,3.5
2019,11,2,20:10,UTC,993.8,100,3.5
2019,11,2,20:20,UTC,993.8,100,3.4
2019,11,2,20:30,UTC,993.7,100,3.4
2019,11,2,20:40,UTC,993.6,100,3.5
2019,11,2,20:50,UTC,993.5,100,3.4
2019,11,2,21:00,UTC,993.4,100,3.5
2019,11,2,21:10,UTC,993.3,100,3.4
2019,11,2,21:20,UTC,993.2,100,3.4
2019,11,2,21:30,UTC,993.1,100,3.4
2019,11,2,21:40,UTC,993,100,3.5
2019,11,2,21:50,UTC,993,100,3.5
2019,11,2,22:00,UTC,993,100,3.5
2019,11,2,22:10,UTC,992.8,100,3.4
2019,11,2,22:20,UTC,992.8,100,3.4
2019,11,2,22:30,UTC,992.7,100,3.3
2019,11,2,22:40,UTC,992.6,100,3.3
2019,11,2,22:50,UTC,992.5,100,3.3
2019,11,2,23:00,UTC,992.5,100,3.4
2019,11,2,23:10,UTC,992.5,100,3.4
2019,11,2,23:20,UTC,992.4,100,3.6
2019,11,2,23:30,UTC,992.5,100,3.5
2019,11,2,23:40,UTC,992.4,100,3.4
2019,11,2,23:50,UTC,992.4,100,3.5
2019,11,3,00:00,UTC,992.3,100,3.5
2019,11,3,00:10,UTC,992.3,100,3.5
2019,11,3,00:20,UTC,992.3,100,3.4
2019,11,3,00:30,UTC,992.3,100,3.4
2019,11,3,00:40,UTC,992.2,100,3.4
2019,11,3,00:50,UTC,992.2,100,3.4
2019,11,3,01:00,UTC,992.2,100,3.4
2019,11,3,01:10,UTC,992.1,100,3.4
2019,11,3,01:20,UTC,992.1,100,3.1
2019,11,3,01:30,UTC,992.2,100,3.1
2019,11,3,01:40,UTC,992.1,100,3.1
2019,11,3,01:50,UTC,992.1,100,3
2019,11,3,02:00,UTC,992.1,100,3
2019,11,3,02:10,UTC,992.2,100,3.1
2019,11,3,02:20,UTC,992.2,100,3.1
2019,11,3,02:30,UTC,992.3,100,3.1
2019,11,3,02:40,UTC,992.3,100,3.1
2019,11,3,02:50,UTC,992.3,100,3.1
2019,11,3,03:00,UTC,992.3,100,3.1
2019,11,3,03:10,UTC,992.3,100,3.1
2019,11,3,03:20,UTC,992.2,100,3.3
2019,11,3,03:30,UTC,992.2,100,3.3
2019,11,3,03:40,UTC,992.1,100,3.3
2019,11,3,03:50,UTC,992.1,100,3.3
2019,11,3,04:00,UTC,992.1,100,3.1
2019,11,3,04:10,UTC,992.1,100,3.2
2019,11,3,04:20,UTC,992.1,100,3
2019,11,3,04:30,UTC,992.1,100,2.8
2019,11,3,04:40,UTC,992.1,100,2.8
2019,11,3,04:50,UTC,992.2,100,2.8
2019,11,3,05:00,UTC,992.4,100,2.8
2019,11,3,05:10,UTC,992.4,100,2.7
2019,11,3,05:20,UTC,992.5,100,2.6
2019,11,3,05:30,UTC,992.7,100,2.4
2019,11,3,05:40,UTC,992.7,100,2.2
2019,11,3,05:50,UTC,992.8,100,2.1
2019,11,3,06:00,UTC,992.8,100,2.1
2019,11,3,06:10,UTC,992.8,100,1.9
2019,11,3,06:20,UTC,992.7,100,1.8
2019,11,3,06:30,UTC,992.8,100,1.6
2019,11,3,06:40,UTC,992.9,100,1.5
2019,11,3,06:50,UTC,993.1,100,1.4
2019,11,3,07:00,UTC,993.2,100,1.3
2019,11,3,07:10,UTC,993.2,100,1.1
2019,11,3,07:20,UTC,993.2,100,1.2
2019,11,3,07:30,UTC,993.4,100,1.3
2019,11,3,07:40,UTC,993.4,100,1.4
2019,11,3,07:50,UTC,993.5,100,1.4
2019,11,3,08:00,UTC,993.6,100,1.4
2019,11,3,08:10,UTC,993.7,100,1.4
2019,11,3,08:20,UTC,993.7,100,1.4
2019,11,3,08:30,UTC,993.9,100,1.5
2019,11,3,08:40,UTC,994.1,100,1.6
2019,11,3,08:50,UTC,994.1,100,1.7
2019,11,3,09:00,UTC,994.1,100,1.8
2019,11,3,09:10,UTC,994.3,100,1.8
2019,11,3,09:20,UTC,994.3,100,1.9
2019,11,3,09:30,UTC,994.4,100,2
2019,11,3,09:40,UTC,994.4,100,2
2019,11,3,09:50,UTC,994.3,100,2.1
2019,11,3,10:00,UTC,994.3,100,2.1
2019,11,3,10:10,UTC,994.5,100,2.2
2019,11,3,10:20,UTC,994.5,100,2.3
2019,11,3,10:30,UTC,994.5,100,2.4
2019,11,3,10:40,UTC,994.7,100,2.1
2019,11,3,10:50,UTC,994.8,100,2.2
2019,11,3,11:00,UTC,994.8,100,2.3
2019,11,3,11:10,UTC,994.8,100,2.3
2019,11,3,11:20,UTC,994.9,100,2.4
2019,11,3,11:30,UTC,995,100,2.4
2019,11,3,11:40,UTC,995.2,100,2.5
2019,11,3,11:50,UTC,995.3,100,2.5
2019,11,3,12:00,UTC,995.4,100,2.7
2019,11,3,12:10,UTC,995.4,100,2.8
2019,11,3,12:20,UTC,995.6,100,3
2019,11,3,12:30,UTC,995.6,100,3
2019,11,3,12:40,UTC,995.7,100,3.1
2019,11,3,12:50,UTC,995.8,100,3.1
2019,11,3,13:00,UTC,995.9,100,3.1
2019,11,3,13:10,UTC,995.9,100,3.1
2019,11,3,13:20,UTC,995.9,100,3.1
2019,11,3,13:30,UTC,996,100,3.1
2019,11,3,13:40,UTC,996.1,100,3.1
2019,11,3,13:50,UTC,996.2,100,3.1
2019,11,3,14:00,UTC,996.3,100,3.1
2019,11,3,14:10,UTC,996.4,100,3.1
2019,11,3,14:20,UTC,996.4,100,3
2019,11,3,14:30,UTC,996.5,100,3
2019,11,3,14:40,UTC,996.7,100,2.8
2019,11,3,14:50,UTC,996.7,100,2.6
2019,11,3,15:00,UTC,996.8,100,2.5
2019,11,3,15:10,UTC,996.9,100,2
2019,11,3,15:20,UTC,997.1,100,1.8
2019,11,3,15:30,UTC,997.1,100,1.6
2019,11,3,15:40,UTC,997.1,100,1.5
2019,11,3,15:50,UTC,997.2,100,1.4
2019,11,3,16:00,UTC,997.4,100,1.3
2019,11,3,16:10,UTC,997.5,100,1.3
2019,11,3,16:20,UTC,997.7,100,1
2019,11,3,16:30,UTC,997.8,100,0.8
2019,11,3,16:40,UTC,997.9,100,0.9
2019,11,3,16:50,UTC,998,100,0.4
2019,11,3,17:00,UTC,998.1,100,0.6
2019,11,3,17:10,UTC,998.3,100,0.3
2019,11,3,17:20,UTC,998.5,100,0.7
2019,11,3,17:30,UTC,998.6,100,1.1
2019,11,3,17:40,UTC,998.6,100,1.2
2019,11,3,17:50,UTC,998.6,100,1.1
2019,11,3,18:00,UTC,998.7,100,0.9
2019,11,3,18:10,UTC,998.8,100,1
2019,11,3,18:20,UTC,999,100,0.9
2019,11,3,18:30,UTC,999,100,0.9
2019,11,3,18:40,UTC,999.1,100,0.8
2019,11,3,18:50,UTC,999.3,100,0.8
2019,11,3,19:00,UTC,999.4,100,0.8
2019,11,3,19:10,UTC,999.5,100,0.8
2019,11,3,19:20,UTC,999.7,100,0.8
2019,11,3,19:30,UTC,999.8,99,0.5
2019,11,3,19:40,UTC,999.9,99,0.3
2019,11,3,19:50,UTC,999.8,98,0.1
2019,11,3,20:00,UTC,999.9,99,0
2019,11,3,20:10,UTC,1000,99,-0.1
2019,11,3,20:20,UTC,1000.1,99,-0.2
2019,11,3,20:30,UTC,1000,99,-0.3
2019,11,3,20:40,UTC,1000.1,100,-0.4
2019,11,3,20:50,UTC,1000.1,100,-0.4
2019,11,3,21:00,UTC,1000.1,100,-0.5
2019,11,3,21:10,UTC,1000.2,99,-0.6
2019,11,3,21:20,UTC,1000.2,99,-0.6
2019,11,3,21:30,UTC,1000.3,100,-0.6
2019,11,3,21:40,UTC,1000.2,100,-0.7
2019,11,3,21:50,UTC,1000.4,100,-0.6
2019,11,3,22:00,UTC,1000.5,100,-0.6
2019,11,3,22:10,UTC,1000.6,100,-0.5
2019,11,3,22:20,UTC,1000.5,100,-0.4
2019,11,3,22:30,UTC,1000.5,99,-0.3
2019,11,3,22:40,UTC,1000.5,100,-0.4
2019,11,3,22:50,UTC,1000.5,100,-0.4
2019,11,3,23:00,UTC,1000.5,100,-0.3
2019,11,3,23:10,UTC,1000.6,100,-0.3
2019,11,3,23:20,UTC,1000.6,99,-0.4
2019,11,3,23:30,UTC,1000.6,99,-0.4
2019,11,3,23:40,UTC,1000.5,98,-0.5
2019,11,3,23:50,UTC,1000.5,98,-0.6
2019,11,4,00:00,UTC,1000.5,98,-0.7
2019,11,4,00:10,UTC,1000.6,99,-0.8
2019,11,4,00:20,UTC,1000.7,99,-0.9
2019,11,4,00:30,UTC,1000.7,100,-0.9
2019,11,4,00:40,UTC,1000.7,100,-0.9
2019,11,4,00:50,UTC,1000.7,100,-1
2019,11,4,01:00,UTC,1000.7,100,-1.1
2019,11,4,01:10,UTC,1000.7,100,-1.1
2019,11,4,01:20,UTC,1000.7,100,-1.1
2019,11,4,01:30,UTC,1000.6,100,-1.2
2019,11,4,01:40,UTC,1000.7,100,-1.3
2019,11,4,01:50,UTC,1000.7,100,-1.2
2019,11,4,02:00,UTC,1000.8,100,-1.3
2019,11,4,02:10,UTC,1000.7,100,-1.3
2019,11,4,02:20,UTC,1000.8,100,-1.3
2019,11,4,02:30,UTC,1000.6,100,-1.4
2019,11,4,02:40,UTC,1000.7,100,-1.4
2019,11,4,02:50,UTC,1000.7,100,-1.4
2019,11,4,03:00,UTC,1000.8,100,-1.4
2019,11,4,03:10,UTC,1000.8,99,-1.5
2019,11,4,03:20,UTC,1000.9,99,-1.6
2019,11,4,03:30,UTC,1001,99,-1.6
2019,11,4,03:40,UTC,1001.1,99,-1.6
2019,11,4,03:50,UTC,1001.1,99,-1.7
2019,11,4,04:00,UTC,1001.1,99,-1.7
2019,11,4,04:10,UTC,1001.2,98,-1.7
2019,11,4,04:20,UTC,1001.2,98,-1.8
2019,11,4,04:30,UTC,1001.3,98,-1.8
2019,11,4,04:40,UTC,1001.4,97,-1.8
2019,11,4,04:50,UTC,1001.4,98,-1.9
2019,11,4,05:00,UTC,1001.5,97,-1.9
2019,11,4,05:10,UTC,1001.5,98,-1.9
2019,11,4,05:20,UTC,1001.6,98,-2
2019,11,4,05:30,UTC,1001.7,98,-2
2019,11,4,05:40,UTC,1001.8,98,-2
2019,11,4,05:50,UTC,1001.8,98,-1.9
2019,11,4,06:00,UTC,1001.8,97,-1.9
2019,11,4,06:10,UTC,1001.9,97,-1.9
2019,11,4,06:20,UTC,1001.9,97,-1.8
2019,11,4,06:30,UTC,1002.1,97,-1.9
2019,11,4,06:40,UTC,1002,97,-2
2019,11,4,06:50,UTC,1001.9,98,-2
2019,11,4,07:00,UTC,1001.9,97,-1.9
2019,11,4,07:10,UTC,1002,97,-1.8
2019,11,4,07:20,UTC,1002,96,-1.8
2019,11,4,07:30,UTC,1002.2,96,-1.8
2019,11,4,07:40,UTC,1002.3,95,-1.7
2019,11,4,07:50,UTC,1002.4,95,-1.7
2019,11,4,08:00,UTC,1002.5,95,-1.7
2019,11,4,08:10,UTC,1002.5,95,-1.6
2019,11,4,08:20,UTC,1002.7,94,-1.5
2019,11,4,08:30,UTC,1002.8,92,-1.4
2019,11,4,08:40,UTC,1002.9,92,-1.3
2019,11,4,08:50,UTC,1002.9,93,-1.2
2019,11,4,09:00,UTC,1003,92,-1.2
2019,11,4,09:10,UTC,1003.1,92,-1.2
2019,11,4,09:20,UTC,1003.1,92,-1.1
2019,11,4,09:30,UTC,1003.2,91,-1
2019,11,4,09:40,UTC,1003.1,90,-1
2019,11,4,09:50,UTC,1003,90,-0.9
2019,11,4,10:00,UTC,1003.1,90,-0.9
2019,11,4,10:10,UTC,1003.1,90,-1
2019,11,4,10:20,UTC,1003.1,90,-1
2019,11,4,10:30,UTC,1003.1,89,-0.9
2019,11,4,10:40,UTC,1003.2,87,-0.7
2019,11,4,10:50,UTC,1003.1,86,-0.4
2019,11,4,11:00,UTC,1003.3,85,-0.3
2019,11,4,11:10,UTC,1003.3,84,-0.4
2019,11,4,11:20,UTC,1003.2,84,-0.4
2019,11,4,11:30,UTC,1003.1,81,-0.3
2019,11,4,11:40,UTC,1003.1,81,-0.3
2019,11,4,11:50,UTC,1003.1,81,-0.3
2019,11,4,12:00,UTC,1003,80,-0.2
2019,11,4,12:10,UTC,1002.9,81,-0.2
2019,11,4,12:20,UTC,1002.8,81,-0.2
2019,11,4,12:30,UTC,1002.9,83,-0.3
2019,11,4,12:40,UTC,1002.9,83,-0.4
2019,11,4,12:50,UTC,1002.8,83,-0.3
2019,11,4,13:00,UTC,1002.7,83,-0.4
2019,11,4,13:10,UTC,1002.8,84,-0.5
2019,11,4,13:20,UTC,1002.9,85,-0.6
2019,11,4,13:30,UTC,1003,84,-0.5
2019,11,4,13:40,UTC,1003,85,-0.6
2019,11,4,13:50,UTC,1003.1,84,-0.6
2019,11,4,14:00,UTC,1003.1,85,-0.7
2019,11,4,14:10,UTC,1003.1,86,-0.7
2019,11,4,14:20,UTC,1003.2,86,-0.8
2019,11,4,14:30,UTC,1003.1,86,-0.9
2019,11,4,14:40,UTC,1003.2,87,-1
2019,11,4,14:50,UTC,1003.4,88,-1.2
2019,11,4,15:00,UTC,1003.4,89,-1.2
2019,11,4,15:10,UTC,1003.5,90,-1.4
2019,11,4,15:20,UTC,1003.6,91,-1.4
2019,11,4,15:30,UTC,1003.7,91,-1.6
2019,11,4,15:40,UTC,1003.7,92,-1.6
2019,11,4,15:50,UTC,1003.9,93,-1.8
2019,11,4,16:00,UTC,1003.9,94,-1.9
2019,11,4,16:10,UTC,1003.8,94,-2
2019,11,4,16:20,UTC,1003.8,94,-2.1
2019,11,4,16:30,UTC,1003.7,95,-2.2
2019,11,4,16:40,UTC,1003.6,95,-2.2
2019,11,4,16:50,UTC,1003.8,95,-2.2
2019,11,4,17:00,UTC,1003.6,96,-2.3
2019,11,4,17:10,UTC,1003.7,96,-2.4
2019,11,4,17:20,UTC,1003.8,96,-2.4
2019,11,4,17:30,UTC,1003.8,96,-2.4
